subject,trc_file,c3d_file,offset_s,n_foot_strikes,tStart_TRC,tEnd_TRC
SUBJ11,SUBJ11_1_walk_RCNL2025.trc,SUBJ11 (1).c3d,3.420,8,0.260,4.120
SUBJ11,SUBJ11_2_walk_RCNL2025.trc,SUBJ11 (2).c3d,1.100,9,0.160,4.580
SUBJ11,SUBJ11_3_walk_RCNL2025.trc,SUBJ11 (3).c3d,1.750,8,0.300,4.180
SUBJ24,SUBJ24_1_walk_RCNL2025.trc,SUBJ24 (1).c3d,3.590,7,0.440,3.320
SUBJ24,SUBJ24_2_walk_RCNL2025.trc,SUBJ24 (2).c3d,3.530,8,0.450,3.910
SUBJ24,SUBJ24_3_walk_RCNL2025.trc,SUBJ24 (3).c3d,4.620,8,0.290,3.900
SUBJ26,SUBJ26_1_walk_RCNL2025.trc,SUBJ26 (1).c3d,0.620,8,0.150,3.590
SUBJ26,SUBJ26_2_walk_RCNL2025.trc,SUBJ26 (2).c3d,2.010,7,0.200,3.180
SUBJ26,SUBJ26_3_walk_RCNL2025.trc,SUBJ26 (3).c3d,0.890,8,0.140,3.680
SUBJ32,SUBJ32_1_walk_RCNL2025.trc,SUBJ32 (1).c3d,1.960,6,0.320,3.090
SUBJ32,SUBJ32_2_walk_RCNL2025.trc,SUBJ32 (2).c3d,0.680,8,0.220,4.140
SUBJ32,SUBJ32_3_walk_RCNL2025.trc,SUBJ32 (3).c3d,1.600,7,0.090,3.540
SUBJ32,SUBJ32_4_walk_RCNL2025.trc,SUBJ32 (4).c3d,3.030,5,0.150,2.390
SUBJ36,SUBJ36_1_walk_RCNL2025.trc,SUBJ36 (1).c3d,3.320,7,0.310,3.540
SUBJ36,SUBJ36_2_walk_RCNL2025.trc,SUBJ36 (2).c3d,1.550,7,0.510,3.770
SUBJ36,SUBJ36_3_walk_RCNL2025.trc,SUBJ36 (3).c3d,2.350,6,0.330,3.090
SUBJ51,SUBJ51_1_walk_RCNL2025.trc,SUBJ51 (1).c3d,1.170,5,0.130,2.330
SUBJ51,SUBJ51_2_walk_RCNL2025.trc,SUBJ51 (2).c3d,2.530,4,0.320,1.920
SUBJ51,SUBJ51_3_walk_RCNL2025.trc,SUBJ51 (3).c3d,6.400,5,0.450,2.620
SUBJ59,SUBJ59_1_walk_RCNL2025.trc,SUBJ59 (1).c3d,2.470,6,0.220,3.130
SUBJ59,SUBJ59_2_walk_RCNL2025.trc,SUBJ59 (2).c3d,1.970,6,0.230,2.940
SUBJ59,SUBJ59_3_walk_RCNL2025.trc,SUBJ59 (3).c3d,1.670,5,0.370,2.560
SUBJ62,SUBJ62_1_walk_RCNL2025.trc,SUBJ62 (1).c3d,1.770,6,0.130,2.750
SUBJ62,SUBJ62_2_walk_RCNL2025.trc,SUBJ62 (2).c3d,2.550,6,0.150,2.790
SUBJ62,SUBJ62_3_walk_RCNL2025.trc,SUBJ62 (3).c3d,2.890,6,0.340,2.950
SUBJ63,SUBJ63_1_walk_RCNL2025.trc,SUBJ63 (1).c3d,1.400,6,0.200,2.300
SUBJ63,SUBJ63_2_walk_RCNL2025.trc,SUBJ63 (2).c3d,1.070,7,0.140,2.650
SUBJ63,SUBJ63_3_walk_RCNL2025.trc,SUBJ63 (3).c3d,1.490,5,0.190,1.890
SUBJ82,SUBJ82_1_walk_RCNL2025.trc,SUBJ82 (1).c3d,1.790,5,0.180,2.200
SUBJ82,SUBJ82_3_walk_RCNL2025.trc,SUBJ82 (3).c3d,1.790,4,0.360,1.900
SUBJ82,SUBJ82_4_walk_RCNL2025.trc,SUBJ82 (4).c3d,1.640,5,0.290,2.240
SUBJ89,SUBJ89_1_walk_RCNL2025.trc,SUBJ89 (1).c3d,3.440,5,0.400,2.380
SUBJ89,SUBJ89_2_walk_RCNL2025.trc,SUBJ89 (2).c3d,3.010,6,0.090,2.570
SUBJ89,SUBJ89_3_walk_RCNL2025.trc,SUBJ89 (3).c3d,2.500,4,0.450,1.920
SUBJ94,SUBJ94_1_walk_RCNL2025.trc,SUBJ94 (1).c3d,2.140,8,0.210,3.610
SUBJ94,SUBJ94_3_walk_RCNL2025.trc,SUBJ94 (3).c3d,3.520,8,0.070,3.470
SUBJ94,SUBJ94_4_walk_RCNL2025.trc,SUBJ94 (4).c3d,1.190,6,0.230,2.620
TVC04,TVC_4_BWA_6_walk_RCNL2025.trc,TVC-4_BWA_6.c3d,0.830,8,0.600,4.140
TVC04,TVC_4_BWA_7_walk_RCNL2025.trc,TVC-4_BWA_7.c3d,1.620,10,0.050,4.590
TVC04,TVC_4_BWA_8_walk_RCNL2025.trc,TVC-4_BWA_8.c3d,2.310,6,0.140,2.690
TVC09,TVC_9_BWA1_walk_RCNL2025.trc,TVC-9_BWA1.c3d,2.370,6,0.430,3.410
TVC09,TVC_9_BWA2_walk_RCNL2025.trc,TVC-9_BWA2.c3d,3.040,6,0.500,3.460
TVC09,TVC_9_BWA3_walk_RCNL2025.trc,TVC-9_BWA3.c3d,5.580,8,0.080,4.290
TVC12,TVC_12_BWA1_walk_RCNL2025.trc,TVC-12_BWA1.c3d,20.610,6,0.610,4.520
TVC12,TVC_12_BWA2_walk_RCNL2025.trc,TVC-12_BWA2.c3d,16.010,5,0.460,3.570
TVC12,TVC_12_BWA3_walk_RCNL2025.trc,TVC-12_BWA3.c3d,9.500,5,0.730,3.510
TVC16,TVC_16_BWA3_walk_RCNL2025.trc,TVC-16_BWA3.c3d,12.380,8,0.260,5.660
TVC16,TVC_16_BWA4_walk_RCNL2025.trc,TVC-16_BWA4.c3d,8.410,10,1.070,8.870
TVC16,TVC_16_BWA5_walk_RCNL2025.trc,TVC-16_BWA5.c3d,7.810,7,0.940,6.310
TVC20,TVC_20_BWA2_walk_RCNL2025.trc,TVC-20_BWA2.c3d,3.620,4,0.550,2.130
TVC20,TVC_20_BWA5_walk_RCNL2025.trc,TVC-20_BWA5.c3d,3.440,4,0.530,2.100
TVC20,TVC_20_BWA6_walk_RCNL2025.trc,TVC-20_BWA6.c3d,3.120,4,0.460,2.030
TVC26,TVC_26_BWA1_walk_RCNL2025.trc,TVC-26_BWA1.c3d,2.090,9,0.270,6.400
TVC26,TVC_26_BWA4_walk_RCNL2025.trc,TVC-26_BWA4.c3d,5.210,6,0.330,4.030
