
                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         77           9.60491                             39.4
     1        154           8.03565        0.031684             35.4      
     2        231            6.9994         0.02665             33.6      
     3        308           6.22134       0.0229088               30      
     4        385           5.68606         0.01709             27.9      
     5        462           5.23739       0.0164479             23.7      
     6        539           4.92203       0.0163061             19.7      
     7        616           4.68208       0.0121374             17.9      
     8        693           4.47453       0.0118818             18.4      
     9        770           4.27761      0.00827806             14.9      
    10        847           4.07543       0.0111652             15.8      
    11        924           3.94989      0.00796009             14.6      
    12       1001           3.84456      0.00578397             12.2      
    13       1078           3.73603      0.00706932         1.75e+04      
    14       1155           3.63766      0.00699675             10.8      
    15       1232           3.55694      0.00686492             11.2      
    16       1309           3.47095      0.00698269             10.8      
    17       1386           3.39717      0.00565659             8.03      
    18       1463           3.33069      0.00574147             8.15      
    19       1540            3.2727      0.00646219             8.72      
    20       1617           3.20834      0.00680797             8.17      
    21       1694           3.15727      0.00516645             8.76      
    22       1771           3.10535      0.00532077             8.02      
    23       1848           3.06042      0.00652582             8.45      
    24       1925           3.02234      0.00382255             8.21      
    25       2002           2.99218       0.0044874             5.92      
    26       2079           2.96394      0.00452593              5.3      
    27       2156           2.94142      0.00577249             7.62      
    28       2233           2.91247      0.00466062             6.45      
    29       2310           2.88269      0.00298622              5.9      
    30       2387           2.85655      0.00469969              6.3      
    31       2464           2.83232      0.00469249             6.52      
    32       2541           2.81075      0.00472006             6.19      
    33       2618            2.7847      0.00434802             7.39      
    34       2695           2.76044      0.00305454             6.16      
    35       2772           2.73942      0.00615474             5.74      
    36       2849           2.71538      0.00584608             5.97      
    37       2926             2.697      0.00454411             6.13      
    38       3003           2.67563      0.00337952             6.32      
    39       3080           2.65794      0.00611603             7.78      
    40       3157           2.64009      0.00523398             6.08      
    41       3234           2.62424      0.00667797             5.29      
    42       3311           2.60913      0.00347297             6.01      
    43       3388           2.59315      0.00581311             5.94      
    44       3465           2.57726      0.00347984             5.92      
    45       3542           2.56212      0.00258074             7.44      
    46       3619           2.54493      0.00727889             6.18      
    47       3696           2.53239      0.00249339             5.87      
    48       3773           2.52032      0.00702058             3.51      
    49       3850           2.50855       0.0033916             6.68      
    50       3927           2.49446       0.0091586             4.92      
    51       4004           2.48243      0.00342924             6.43      
    52       4081           2.47033      0.00376551             5.01      
    53       4158           2.45844      0.00289804             4.13      
    54       4235           2.44396      0.00852121              4.3      
    55       4312            2.4338      0.00183842             6.37      
