Marker,RMS_State00_mm,RMS_State01_mm,RMS_State02_mm,RMS_State03_mm,RMS_State04_mm,RMS_State05_mm,RMS_State06_mm,RMS_State07_mm,RMS_State08_mm,Improvement_mm,Improvement_pct
R_Asis,8.9143829431246,4.19993981926358,4.24072098144299,3.93289558652061,3.93289558652061,3.83642844411776,3.82625325789734,3.86306600463711,3.85913445914792,5.05524848397668,56.7088997211595
L_Asis,8.5661005154335,3.96021245812493,3.97110565611015,3.64141344314311,3.64141344314311,3.56142392064016,3.56150032908991,3.60903022702406,3.66217988174871,4.90392063368479,57.2479931194996
Sacral,6.75890527428108,4.24612441873577,4.24820585256794,4.23704917135553,4.23704917135553,4.08460796692024,4.06723178724721,3.55972776070317,3.54108274867748,3.2178225256036,47.6086347569928
R_Thigh_Lateral,9.06186109559487,6.86165798247737,6.82571329450645,6.60962362181791,6.60962362181791,6.60782476799082,6.60476446988365,6.48602926889204,6.50076914569448,2.56109194990039,28.262317452045
R_Knee_Lateral,7.79070325505615,3.66520668422419,3.78120871271906,3.55217464859562,3.55217464859562,3.46404164084954,3.43670998748549,3.39325168140433,3.42118562453574,4.36951763052041,56.0863055294091
R_Shank_Lateral,8.37141336096406,6.85517682266609,6.30531754746721,5.39865507562019,5.39865507562019,5.37503551286838,5.36237152565448,5.42654190081803,5.42248961729508,2.94892374366898,35.2261155496135
R_Ankle_Lateral,4.06831633802527,2.65572359084158,2.187963308541,2.18144857696373,2.18144857696373,2.16410653743882,2.15610459912325,2.13494702349194,2.13527637033359,1.93303996769168,47.5144951149487
R_Heel,4.02413956742877,2.82281495384077,2.71516971521433,2.6041018363738,2.6041018363738,2.60622162077291,2.5938084081373,2.55152096112512,2.55415935017701,1.46998021725176,36.5290565255172
R_Toe,4.70070881253083,2.8120127756794,2.87693781176647,2.54495031591254,2.54495031591254,2.56868290721367,2.57757108247361,2.51222728164919,2.52431762760577,2.17639118492505,46.2992129851434
L_Thigh_Lateral,12.0435617592671,7.23873882439415,7.22262007449481,6.90193589628911,6.90193589628911,6.97765839362273,6.97552884301978,6.991763109043,6.99728140041956,5.04628035884752,41.9002323375358
L_Knee_Lateral,7.92744665675507,3.25465962281644,3.35422910247472,2.74515241596217,2.74515241596217,2.75880810454548,2.75843190411773,2.90280203630346,2.93039150417312,4.99705515258195,63.0348631652274
L_Shank_Lateral,8.59132868671604,6.66606720415218,6.4159611106944,5.34446091958986,5.34446091958986,5.30764906468866,5.29311740529073,5.30654464641203,5.33065024250771,3.26067844420834,37.9531334803895
L_Ankle_Lateral,4.97348137639739,2.41042433947704,2.21265461442123,2.17785322062069,2.17785322062069,2.26604723084705,2.26514579542502,2.17769756162893,2.18187456945074,2.79160680694665,56.1298333234897
L_Heel,4.56624818419906,2.95428840650862,2.92284166029874,2.90547397718535,2.90547397718535,2.99113542039522,2.98330744839522,2.91908158236271,2.93711507464538,1.62913310955368,35.6777171068163
L_Toe,4.85345042881192,2.55283259429395,2.63666000612186,2.1747717847312,2.1747717847312,2.23878833027191,2.21046334937544,2.15798591852922,2.17250461443066,2.68094581438126,55.2379354379752
R_Shoulder,11.991398855707,11.1924712982022,11.184318672642,11.1901583943258,11.1901583943258,4.44908564302182,4.44061956526897,4.18081920865457,4.1742083554856,7.81719050022138,65.1899798704552
L_Shoulder,8.54010515312902,9.00232427713812,8.98354335721787,9.0282334313179,9.0282334313179,3.72380103808964,3.723788235951,3.58083577001533,3.57911842298794,4.96098673014108,58.0904642412209
C7,8.63593809119892,8.06267235024589,8.05414671053639,8.07616526839272,8.07616526839272,3.32094590929257,3.31947423534385,3.20204308669799,3.209094436595,5.42684365460392,62.8402334210169
J_Notch,7.49038819752107,5.01931603816504,5.04271452374136,5.00193258500819,5.00193258500819,3.12486354854476,3.12367057908074,2.92979879378331,2.93509559834947,4.5552925991716,60.8151737807016
Thoracic,4.94308486168034,4.85905203950777,4.8715853112635,4.84208256192527,4.84208256192527,3.59519925314897,3.59884701813152,3.66218144378286,3.66208407345536,1.28100078822498,25.9150070061617
Sternum,10.0266248693234,6.62118473890285,6.6356249093144,6.59926213219494,6.59926213219494,4.90607664756834,4.90653535233774,4.6751937105225,4.67929194530411,5.34733292401927,53.3313352569869
R_Elbow,5.18152107239451,6.63599087148445,6.61757310944399,6.63658267805851,6.63658267805851,4.72067905423781,4.74702519569454,2.22050698896164,2.22352927746306,2.95799179493144,57.0873253935158
L_Elbow,5.53055037243989,5.38194179567089,5.38565590898476,5.37501615453154,5.37501615453154,5.40073073151896,5.33558182308554,2.87234678800294,2.8679243482552,2.66262602418469,48.1439611770507
R_Wrist,8.55308013324488,6.60847369133618,6.62198218888886,6.62072609739707,6.62072609739707,8.62962174652973,8.66609883248137,3.2571658243339,3.25834571126138,5.29473442198351,61.9044173502298
L_Wrist,8.97572256789862,8.25360827398857,8.27005988029611,8.22366124774245,8.22366124774245,8.88795114868567,8.73181342600338,2.89770892753813,2.89763194468403,6.07809062321459,67.7170063717509
