
                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         89           6.94256                             42.2
     1        178           6.27898       0.0148977             38.4      
     2        267           5.57277       0.0150612             34.3      
     3        356           5.16659      0.00974059             32.4      
     4        445           4.73284      0.00929537             29.2      
     5        534           4.40547       0.0105718             28.5      
     6        623           4.14436      0.00771375             24.6      
     7        712           3.88439      0.00655201             23.1      
     8        801           3.62748       0.0069594             22.2      
     9        890           3.44365      0.00434129             19.8      
    10        979           3.26188      0.00464289             19.5      
    11       1068           3.08593      0.00395725             17.2      
    12       1157           2.97055      0.00315137             15.7      
    13       1246           2.86341      0.00513259             14.5      
    14       1335           2.76187      0.00365883             15.4      
    15       1424           2.67092      0.00219936             13.1      
    16       1513            2.5984      0.00215826             12.7      
    17       1602           2.52139       0.0046645             11.7      
    18       1691           2.45353      0.00334618               11      
    19       1780           2.38973      0.00270859             9.97      
    20       1869           2.34072      0.00144995             10.1      
    21       1958            2.2947      0.00307509             8.64      
    22       2047           2.24746      0.00225359             10.3      
    23       2136           2.20535      0.00204476             8.19      
    24       2225           2.16171      0.00225945             8.45      
    25       2314            2.1216      0.00286748             9.43      
    26       2403           2.09408      0.00231701             7.52      
    27       2492           2.06642      0.00179371             8.34      
    28       2581           2.04081      0.00143391             7.13      
    29       2670           2.01383      0.00187993             6.94      
    30       2759           1.98854      0.00222701             6.53      
    31       2848           1.96702      0.00178959             6.15      
    32       2937            1.9468      0.00195467              5.3      
    33       3026           1.92492      0.00204042             5.55      
    34       3115           1.90704        0.002027             5.38      
    35       3204           1.88866      0.00129274             6.71      
    36       3293           1.86526      0.00232101             6.37      
    37       3382           1.84813      0.00194432             5.03      
    38       3471           1.83394      0.00126814             7.29      
    39       3560           1.81862      0.00109867         1.48e+05      
    40       3649           1.81137      0.00242203             5.33      
    41       3738           1.79983     0.000605507             5.57      
    42       3827           1.78708      0.00140414             6.69      
    43       3916            1.7739      0.00172457              4.6      
    44       4005           1.75934      0.00174841             5.32      
    45       4094           1.74619      0.00142803             5.84      
    46       4183            1.7332      0.00156699             5.89      
    47       4272           1.72158        0.001682             4.93      
    48       4361           1.70991      0.00240597             4.87      
    49       4450           1.69745      0.00153194             4.46      
    50       4539           1.68793      0.00107196             5.24      
    51       4628           1.67883      0.00171093             6.56      
    52       4717           1.66926      0.00126171             5.04      
    53       4806           1.65761      0.00225189             4.48      
    54       4895           1.64813      0.00232073             3.81      
    55       4984           1.63928      0.00152686             4.83      
    56       5073           1.63115      0.00165313             4.96      
    57       5162           1.62249      0.00136253             4.72      
    58       5251           1.61448      0.00141082             4.61      
    59       5340            1.6052      0.00154233             5.43      
    60       5429           1.59628      0.00158578             5.04      
    61       5518           1.58962     0.000712518             4.41      
    62       5607           1.58264      0.00123224             3.55      
    63       5696           1.57625      0.00136848             3.74      
    64       5785           1.56882      0.00126058             3.13      
    65       5874           1.56344      0.00139991             4.27      
    66       5963           1.55696      0.00163291              3.3      
    67       6052           1.55102      0.00141019             4.79      

<a href = "matlab: helpview('optim','solver_stopped_premature','CSHelpWindow');">Solver stopped prematurely</a>.

lsqnonlin stopped because it exceeded the function evaluation limit,
<a href = "matlab: helpview('optim','max_fun_evals','CSHelpWindow');">options.MaxFunctionEvaluations</a> = 6.000000e+03.

Joint Model Personalization Runtime: 22.968696 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         37          0.657235                             6.54
