Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 6 workers.

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         89           5.87862                             42.6
     1        178           5.11683       0.0208295             38.4      
     2        267            4.5638       0.0180413             34.5      
     3        356             4.024       0.0173898             30.5      
     4        445           3.63668       0.0162364             28.4      
     5        534           3.37377         0.01169               23      
     6        623           3.12537      0.00928025             22.5      
     7        712           2.92377      0.00842339             21.8      
     8        801           2.76051      0.00764754             17.8      
     9        890           2.61536      0.00644323             16.7      
    10        979           2.50213      0.00506116               14      
    11       1068            2.4097      0.00453635             13.6      
    12       1157           2.33284      0.00450264             13.4      
    13       1246           2.25945      0.00348144             11.4      
    14       1335           2.21486      0.00205208             10.8      
    15       1424           2.16886      0.00327939             10.4      
    16       1513            2.1261      0.00325507              9.7      
    17       1602           2.08283      0.00335386             9.16      
    18       1691           2.04401       0.0027346             7.97      
    19       1780           2.02295         0.00168             8.08      
    20       1869           1.99935      0.00273122              7.2      
    21       1958           1.97571      0.00197406             7.68      
    22       2047           1.95413      0.00174651              5.5      
    23       2136           1.93514      0.00240778             6.79      
    24       2225           1.91741      0.00169338             5.01      
    25       2314           1.90404      0.00171615             7.17      
    26       2403           1.88998      0.00160662             5.74      
    27       2492           1.87871      0.00156172             6.02      
    28       2581           1.86604      0.00217284             6.62      
    29       2670           1.85383      0.00185256             5.53      
    30       2759           1.84366      0.00216691             6.03      
    31       2848           1.83565      0.00132358             7.06      
    32       2937           1.82707       0.0019158             5.29      
    33       3026           1.81812      0.00130051             4.84      
    34       3115           1.80939      0.00199163             5.25      
    35       3204           1.80139      0.00180997             4.44      
    36       3293           1.79277       0.0019939             4.41      
    37       3382           1.78748      0.00180978             3.85      
    38       3471           1.78131      0.00107055             4.47      
    39       3560           1.77498      0.00140765              4.2      
    40       3649           1.76871      0.00172838             4.47      
    41       3738           1.76245      0.00154151             4.45      
    42       3827           1.75507       0.0014015             4.46      
    43       3916           1.75093     0.000903668             4.94      
    44       4005           1.74571      0.00141939             3.85      
    45       4094           1.73961      0.00150828             5.36      
    46       4183           1.73319      0.00231778             6.23      
    47       4272           1.72772      0.00139392              3.1      
    48       4361           1.72425      0.00114377             3.53      
    49       4450           1.72118     0.000497986             2.51      
    50       4539           1.71753      0.00142578             4.02      
    51       4628           1.71352      0.00118564             3.54      
    52       4717           1.70835      0.00212673             4.61      
    53       4806            1.7049      0.00131837             3.19      
    54       4895           1.70045      0.00174853             3.76      
    55       4984           1.69622      0.00192301         1.55e+05      
    56       5073           1.69347      0.00109382              4.9      
    57       5162           1.69172     0.000273456             4.16      
    58       5251           1.68837     0.000546912             2.53      
    59       5340           1.68507      0.00109382             4.45      
    60       5429           1.68215       0.0015205             2.64      
    61       5518           1.67983      0.00106732             3.44      
    62       5607           1.67653      0.00108215             2.88      
    63       5696           1.67319       0.0015946             3.81      
    64       5785           1.66957     0.000995491              3.6      
    65       5874           1.66633      0.00148364             2.39      
    66       5963           1.66364      0.00149575             2.97      
    67       6052           1.66119      0.00159703             3.59      

<a href = "matlab: helpview('optim','solver_stopped_premature','CSHelpWindow');">Solver stopped prematurely</a>.

lsqnonlin stopped because it exceeded the function evaluation limit,
<a href = "matlab: helpview('optim','max_fun_evals','CSHelpWindow');">options.MaxFunctionEvaluations</a> = 6.000000e+03.

Joint Model Personalization Runtime: 3.426177 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         37          0.688888                             10.2
     1         74          0.667829      0.00145422             10.1      
     2        111          0.657774     0.000858746             10.3      
     3        148          0.639286      0.00104386               13      
     4        185          0.629116     0.000706826             6.72      
     5        222          0.624395     0.000700976         5.42e+04      
     6        259           0.62027     0.000693977             8.35      
     7        296           0.61564     0.000173494              8.2      
     8        333           0.61257     0.000346989             9.11      
     9        370          0.605872     0.000346989             9.59      
    10        407          0.599207     0.000693977             10.9      
    11        444            0.5889     0.000668904              8.4      
    12        481          0.583269      0.00056591             4.92      
    13        518          0.577863     0.000539744             7.85      
    14        555          0.570224     0.000713574             7.51      
    15        592          0.564324     0.000594065             9.21      
    16        629          0.558245     0.000592018         5.21e+04      
    17        666          0.554557     0.000531181               10      
    18        703          0.553818     0.000132795             10.3      
    19        740          0.551409     0.000132795             7.79      
    20        777           0.54703      0.00026559             8.97      
    21        814          0.542993     0.000439902                6      
    22        851          0.535736     0.000463101             6.85      
    23        888          0.529686     0.000519375             7.25      
    24        925          0.522563     0.000696156              5.1      
    25        962          0.517428     0.000585042             5.46      
    26        999          0.511498      0.00060139             6.18      
    27       1036          0.506722      0.00047666             7.25      
    28       1073          0.503689     0.000457896             7.31      
    29       1110          0.499165     0.000451507             5.12      
    30       1147          0.496515     0.000534553                6      
    31       1184          0.491548     0.000436412             4.75      
    32       1221           0.48827     0.000504323                4      
    33       1258          0.485981     0.000384544             5.15      
    34       1295          0.482316     0.000528612             6.78      
    35       1332          0.478093     0.000490788             4.92      
    36       1369           0.47477     0.000524326             4.17      
    37       1406          0.470875     0.000517146              3.2      
    38       1443          0.469338     0.000516254             2.63      
    39       1480           0.46755      0.00035924             3.16      
    40       1517          0.465466      0.00029056         5.04e+04      
    41       1554          0.463504     0.000466007             3.94      
